fiberlookup_initial,fiberlookup_latency,fiberlookup_stop_latency,fiberlookup_starting,bump,stop_bump,done_bump,empty_bump,fiberlookup_ii,fiberlookup_factor,diff1,diff2,diff3,diff4,diff5,diff6,diff7,diff8,timestamp
24,269,260,96,177,110,389,261,3,1.9396182298660278,623,227,595,561,451,89,319,1462,2090
236,8,122,77,219,42,245,12,1,1.1504578590393066,170,524,1036,816,748,236,784,637,2102
249,388,188,20,257,109,149,40,4,1.1938608884811401,1169,1060,1687,1415,1284,666,1399,2856,2115
261,268,137,76,379,289,376,251,3,1.6166199445724487,859,937,1542,1271,1161,562,1266,2172,2126
28,251,365,47,161,115,151,269,2,0.6373761892318726,407,182,520,495,406,71,256,856,2138
351,352,65,15,14,259,199,70,1,0.3868201971054077,629,1213,1840,1505,1437,810,1588,1326,2150
101,36,189,62,105,72,355,205,4,0.9440640211105347,669,264,743,619,488,18,455,2060,2163
355,150,204,92,180,278,260,285,3,0.5966957807540894,835,1101,1800,1435,1325,632,1524,2336,2174
22,101,238,98,289,189,82,283,4,1.5043978691101074,655,92,492,447,316,75,204,1888,2186
97,118,114,84,205,217,133,81,4,0.07940113544464111,747,334,809,689,558,92,521,2130,2198
251,298,58,93,391,339,185,264,3,1.8964507579803467,879,937,1532,1271,1161,572,1256,2172,2209
50,124,17,60,336,344,29,189,3,1.5567092895507812,504,160,554,494,384,4,278,1395,2222
245,310,109,85,194,290,143,318,1,1.6361794471740723,481,853,1374,1145,1077,556,1122,966,2237
192,190,229,26,275,132,110,321,3,0.7026557922363281,712,652,1188,986,876,346,912,1887,2251
214,112,64,69,299,77,57,244,3,0.40401625633239746,656,640,1198,974,864,312,922,1875,2264
73,350,50,84,295,329,22,225,4,0.2976115942001343,955,494,945,849,718,276,657,2290,2276
392,169,329,21,154,285,342,331,4,0.7370495796203613,1093,1270,2040,1625,1494,733,1752,3066,2289
188,26,341,7,138,399,352,161,1,0.60605788230896,140,398,862,690,622,158,610,511,2305
273,219,0,93,147,304,211,292,2,1.1048827171325684,620,885,1468,1198,1109,529,1204,1559,2322
184,170,253,30,240,23,234,328,4,0.17974257469177246,886,647,1209,1002,871,318,921,2443,2336
371,67,215,81,126,130,43,143,1,1.7328563928604126,364,988,1635,1280,1212,565,1383,1101,2351
89,62,206,95,38,74,372,22,4,1.7425886392593384,683,254,721,609,478,20,433,2050,2363
235,301,206,40,177,92,44,274,4,1.9403661489486694,1068,931,1544,1286,1155,551,1256,2727,2375
352,257,14,3,194,91,93,302,1,0.44549334049224854,535,1121,1749,1413,1345,717,1497,1234,2387
370,267,299,92,346,368,311,352,3,1.5474191904067993,967,1263,1977,1597,1487,779,1701,2498,2400
80,199,363,38,81,71,314,3,1,0.4375641345977783,205,247,603,539,471,115,351,360,2413
131,28,293,25,123,122,395,4,4,0.0046242475509643555,691,346,855,701,570,70,567,2142,2425
218,56,392,32,47,379,353,194,1,1.2423028945922852,200,518,1012,810,742,248,760,631,2439
365,395,354,55,90,333,73,232,2,1.044714331626892,888,1337,2012,1650,1561,889,1748,2011,2451
237,99,302,98,143,205,334,340,1,1.5807464122772217,262,618,1131,910,842,329,879,731,2463
157,281,39,5,21,359,365,378,2,0.3830842971801758,566,599,1066,912,823,359,802,1273,2475
72,288,252,81,7,164,28,178,2,1.113073468208313,488,351,733,664,575,196,469,1025,2487
138,400,45,80,206,28,63,6,4,1.5180623531341553,1070,739,1255,1094,963,456,967,2535,2499
1,176,339,51,358,286,266,99,4,0.32496702671051025,709,104,483,459,328,42,195,1900,2511
119,400,290,62,392,62,166,176,3,1.4051653146743774,849,643,1106,977,867,410,830,1878,2523
314,1,368,43,14,320,350,107,2,0.2773092985153198,443,790,1414,1103,1014,393,1150,1464,2535
281,41,172,46,79,59,176,280,4,1.3757373094558716,854,809,1468,1164,1033,383,1180,2605,2548
340,91,309,6,82,47,299,41,1,1.0027711391448975,357,919,1535,1211,1143,527,1283,1032,2559
226,139,178,6,393,272,73,187,2,1.1501189470291138,493,664,1200,977,888,355,936,1338,2571
196,32,78,97,198,365,131,94,1,1.5928008556365967,154,428,900,720,652,180,648,541,2583
296,107,307,64,163,142,344,93,4,1.439562439918518,935,920,1594,1275,1144,479,1306,2716,2595
333,69,186,100,380,30,205,61,4,0.026989459991455078,934,993,1704,1348,1217,515,1416,2789,2607
298,143,200,79,183,387,117,381,3,1.1722301244735718,771,923,1565,1257,1147,511,1289,2158,2618
218,90,71,17,60,265,285,112,4,1.4059932231903076,840,669,1265,1024,893,306,977,2465,2631
140,15,199,63,183,104,286,173,1,0.8656517267227173,81,243,659,535,467,51,407,356,2642
0,0,239,66,244,311,271,226,1,1.125011717000002,73,191,85,101,33,243,167,78,670954
