fiberlookup_initial,fiberlookup_latency,fiberlookup_stop_latency,fiberlookup_miss_latency,fiberlookup_starting,incr_type,fiberlookup_ii,fiberlookup_numerator_factor,fiberlookup_denominator_factor,diff1,diff2,diff3,diff4,diff5,diff6,diff7,diff8,diff9,diff10,timestamp
24,10,29,85,77,1,2,38,56,105.0,505.0,503.0,197.0,466.0,1181.0,235.0,202.0,472.0,727.0,5902
0,2,90,70,1,0,1,144,86,0.0,391.0,390.0,80.0,295.0,263.0,193.0,67.0,263.0,389.0,5937
0,5,2,67,1,0,1,130,86,1.0,356.0,355.0,64.0,273.0,220.0,176.0,62.0,243.0,353.0,5973
0,1,7,87,1,0,1,150,93,3.0,396.0,395.0,91.0,323.0,251.0,205.0,82.0,292.0,393.0,6019
26,29,31,67,120,1,3,76,90,176.0,765.0,762.0,273.0,569.0,1921.0,288.0,237.0,571.0,1188.0,6052
0,2,7,75,24,0,1,157,94,23.0,419.0,418.0,107.0,328.0,269.0,221.0,95.0,296.0,416.0,6089
0,2,2,70,35,0,1,144,86,34.0,425.0,424.0,114.0,329.0,276.0,227.0,101.0,297.0,423.0,6125
0,2,19,70,1,0,1,144,87,2.0,388.0,387.0,78.0,293.0,239.0,192.0,65.0,262.0,385.0,6160
32,49,100,54,171,1,1,145,92,247.0,558.0,557.0,322.0,552.0,815.0,371.0,283.0,553.0,587.0,6195
19,2,7,70,31,0,1,9,86,34.0,123.0,122.0,44.0,240.0,322.0,109.0,120.0,255.0,141.0,6230
7,2,7,70,1,0,2,144,67,16.0,694.0,692.0,170.0,444.0,1052.0,253.0,89.0,407.0,897.0,6272
6,37,18,86,105,0,7,70,51,178.0,1656.0,1649.0,386.0,850.0,4437.0,366.0,226.0,812.0,2854.0,6314
6,2,0,70,1,0,1,158,99,4.0,382.0,381.0,91.0,312.0,304.0,193.0,77.0,287.0,385.0,6352
0,2,3,71,1,0,1,144,86,0.0,392.0,391.0,81.0,297.0,243.0,194.0,68.0,265.0,390.0,6387
0,2,7,72,1,0,1,155,81,1.0,441.0,440.0,100.0,324.0,270.0,216.0,70.0,288.0,438.0,6422
27,23,19,95,46,2,1,182,88,96.0,568.0,567.0,261.0,539.0,680.0,324.0,194.0,527.0,592.0,6454
0,2,7,70,1,0,1,27,86,14.0,116.0,115.0,27.0,156.0,87.0,78.0,53.0,148.0,115.0,6489
0,6,7,92,35,0,2,144,86,44.0,647.0,645.0,168.0,444.0,971.0,261.0,128.0,409.0,844.0,6524
25,31,45,89,135,0,6,181,52,233.0,1934.0,1928.0,608.0,1109.0,4263.0,585.0,310.0,1054.0,2949.0,6560
0,2,7,70,1,0,1,144,86,0.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,6603
0,2,7,83,15,0,1,144,94,12.0,390.0,389.0,96.0,321.0,252.0,208.0,92.0,291.0,387.0,6652
1,2,2,70,1,0,1,144,86,1.0,392.0,391.0,83.0,299.0,254.0,194.0,69.0,268.0,391.0,6697
8,0,0,93,0,0,10,56,1,547.0,13194.0,13184.0,4650.0,6606.0,12554.0,4948.0,637.0,5577.0,14936.0,6775
0,2,7,70,83,0,1,144,26,116.0,1254.0,1253.0,463.0,775.0,760.0,603.0,183.0,673.0,1248.0,6816
0,2,7,75,0,0,1,144,86,1.0,395.0,394.0,84.0,304.0,246.0,197.0,71.0,272.0,393.0,6851
